courseid,chapterid,sectionid,unitid,subunitid,-,topic,-,chapter,-,Cognitive level,-,description_of_topic,-
11,,,,,,Parallel and Distributed Computing,,,,,,,
11,1,,,,,Programs and Executions,,Programs and Executions,,,,,
11,1,1,,,,Definitions and Properties,,Programs and Executions,,Understand,,,
11,1,1,1,,,Parallelizable actions,,Programs and Executions,,Understand,,"1, Including closures, functions, and services. 2, Composite actions; sessions, tasks; scopes. 3, Naming or identifying actions as parties (for example thread IDs). 4, Impact of granularity and overhead ",
11,1,1,2,,,Ordering ampng actions; happens-before relations,,Programs and Executions,,Understand,,Relaxing ordering constraints permits nondeterministic execution of the series/parallel directed acyclic graphs representing program components,
11,1,1,3,,,Independence,,Programs and Executions,,Understand,,"determining when ordering doesn't matter in terms of commutativity, dependencies, preconditions",
11,1,1,4,,,Consistency,,Programs and Executions,,Understand,,"Agreement about values and predicates; races, atomicity, consensus",
11,1,1,5,,,Ensuring ordering when necessary in parallel programs,,Programs and Executions,,Understand,,"For example locking, safe publication ",
11,1,1,6,,,Places,,Programs and Executions,,Understand,,Physical devices executing parallel actions (parties),
11,1,1,7,,,Faults arising from failures in parties or communication,,Programs and Executions,,Understand,,,
11,1,2,,,,Starting parallel actions,,Programs and Executions,,Understand,,,
11,1,2,1,,,Placement,,Programs and Executions,,Understand,,arranging that the action be performed (eventually) by a designated party,
11,1,2,2,,,Procedural,,Programs and Executions,,Understand,,"Enabling multiple actions tstart at a given program point. For example, starting new threads",
11,1,2,3,,,Reactive,,Programs and Executions,,Understand,,"Enabling upon an event. For example, installing event handlers",
11,1,2,4,,,Dependent,,Programs and Executions,,Understand,,"Enabling upon completion of others. For example, sequencing",
11,1,3,,,,Underlying mappings and mechanisms,,Programs and Executions,,Understand,,,
11,1,3,1,,,CPU data- and instruction-level-parallelism,,Programs and Executions,,Understand,,,
11,1,3,2,,,SIMD and heterogeneous data parallelism,,Programs and Executions,,Understand,,,
11,1,3,3,,,"Multicore scheduled concurrency, tasks, actors",,Programs and Executions,,Understand,,,
